,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,zscore_max,zscore_mean,zscore_min,scene,avg_temp,t_std_dev,avg_depth,d_std_dev,count
0,1_1_2_1_LT05_013030_19850901,138.26797,5.0,47.822216,0.981,1.0090483000000001,31291.6266353125,494434941291.0,1.0,23640,21.077669884871106,16.855599503894695,14.253291068723767,0.6461897141402668,42.17778396606445,31291.75,494445600000,1.170001220703125,6.533793851227933,-1.8227490612479074e-12,-4.027158554563512,LT05_013030_19850901,,,,,0.0
1,1_1_2_1_LT05_013030_19850917,143.90114,6.0,43.06969,0.981,1.0049189,31307.62648572917,495817328367.0,0.9996615905245348,23632,18.39470840238461,15.181497076302822,12.839674685214794,0.3904993798276851,46.9303092956543,31307.75,495828000000,1.6,8.228467168116051,-2.146144029884123e-13,-5.99699388030117,LT05_013030_19850917,,,,,0.0
2,1_1_2_1_LT05_013030_19851120,155.80006,36.0,23.41129,0.981,0.9879325000000001,31371.62592065972,501346879545.0,0.9464890016920474,22375,13.311428879032086,8.982424685178499,7.996818104366372,0.7542370541109216,66.58871078491211,31371.75,501357600000,2.3600006103515625,5.739580374974451,3.571457338005658e-12,-1.3067596923807148,LT05_013030_19851120,,,,,0.0
3,1_1_2_1_LT05_013030_19860515,128.12861999999998,41.0,56.60321999999999,0.981,1.0109715,31547.623305428242,516553053589.0,1.0,23640,19.295800493579225,10.003585793290807,3.966049028886816,1.5037658950379755,33.396778106689446,31547.5,516542400000,1.4799987792968752,6.179296079895307,-6.066813729391861e-13,-4.014944602963961,LT05_013030_19860515,,,,,0.0
4,1_1_2_1_LT05_013030_19861022,150.39049,4.0,30.897781,0.981,0.9950896,31707.61961,530376734304.0,0.9994500846023688,23627,9.473174442579916,7.118244564427278,4.988592923126983,0.6823108551336147,59.10221862792969,31707.5,530366400000,1.220001220703125,3.4514032137030553,-2.1443231600429207e-12,-3.1212337093526865,LT05_013030_19861022,,,,,0.0
5,1_1_2_1_LT05_013030_19861123,153.4201,72.0,22.016676,0.981,0.9874027,31739.61879398148,533141463800.0,0.6836717428087986,16162,1.3655317151783912,-3.729779339378652,-11.56498025057417,2.2733737002964896,67.98332405090332,31739.5,533131200000,1.1,2.241299375413959,-1.1913036429897914e-13,-3.4465081170656906,LT05_013030_19861123,,,,,0.0
6,1_1_2_1_LT05_013030_19870502,131.299,17.0,53.553523999999996,0.981,1.0078675,31899.622471620365,546965781548.0,1.0,23640,15.649431693970499,6.131628266383588,4.988791372813288,1.3546218908652958,36.446475982666016,31899.5,546955200000,0.55,7.026169805588478,3.0657244788845066e-13,-0.8436574820448884,LT05_013030_19870502,,,,,0.0
7,1_1_1_1_LT04_013030_19870526,123.58484709,38.0,57.46879674,0.981,1.0130781999999998,31923.619376226845,549039114106.0,1.0,23640,26.585878627998405,17.1204850268346,15.479453753668006,1.0597826951523703,32.53120326,31923.5,549028800000,1.379998779296875,8.931447592473582,-3.999946582222577e-13,-1.5484601519471477,LT04_013030_19870526,,,,,0.0
8,1_1_2_1_LT05_013030_19870705,121.050354,16.0,58.560978000000006,0.981,1.016714,31963.623527060186,552495472738.0,1.0,23640,22.84269902692823,17.326459066266846,16.571756042768303,0.6219075749725005,31.439022064208984,31963.5,552484800000,2.0500000000000003,8.869870994745972,-1.3270311993029652e-12,-1.2135292346807494,LT05_013030_19870705,,,,,0.0
9,1_1_2_1_LT05_013030_19870806,127.85028,17.0,53.814021999999994,0.981,1.0142733,31995.6240859838,555260321029.0,1.0,23640,23.70535226097744,18.410363222484968,17.486123770849847,0.3144727857446088,36.185977935791016,31995.5,555249600000,1.2299987792968752,16.837670153094464,-1.9593546321483246e-11,-2.9390125108813883,LT05_013030_19870806,,,,,0.0
10,1_1_2_1_LT05_013030_19871009,149.84749,9.0,35.99112,0.981,0.9988292,32059.625176574078,560790015256.0,1.0,23640,10.44513242412734,9.414693085847043,6.001136601535571,0.5882281331475576,54.00888061523438,32059.75,560800800000,1.4600006103515626,1.751768200487974,2.090383008398082e-12,-5.803116668435808,LT05_013030_19871009,,,,,0.0
11,1_1_2_1_LT05_013030_19871025,153.29037,34.0,30.828315999999997,0.981,0.9943270000000001,32075.625350798615,562172430309.0,0.961590524534687,22732,9.473479021742827,8.291224335479225,2.4136359223772974,0.7564101942678724,59.17168426513672,32075.75,562183200000,0.8,1.5629809000761847,2.744257358634435e-13,-7.770371760775688,LT05_013030_19871025,,,,,0.0
12,1_1_2_1_LT05_013030_19880605,125.07561499999998,26.0,60.112915,0.981,1.0147527,32299.62736854167,581526204642.0,1.0,23640,19.747322617193092,12.853474305156894,11.407508728800137,0.9217361137794848,29.8870849609375,32299.75,581536800000,2.2600006103515624,7.479199533333539,1.7731284276738577e-12,-1.5687413726556974,LT05_013030_19880605,,,,,0.0
13,1_1_2_1_LT05_013030_19880621,122.86057,12.0,60.245888,0.981,1.0163171999999998,32315.627430590277,582908610003.0,0.9962774957698816,23552,18.84704197766684,13.15211868069041,10.444397866419843,0.8261295638534972,29.754112243652344,32315.75,582919200000,1.8899993896484373,6.893498969353362,-5.544506131101226e-13,-3.27759825182911,LT05_013030_19880621,,,,,0.0
